faiss_id,job_id,title,company,source
56,Ai6S4up2o4QVHChtAAAAAA==,Executive Assistant/Data Analyst,Hey Lieu,JSearch
57,c54wHKd0SwkHW9lkAAAAAA==,Sr Data Analyst - Commercial Sales US Remote,Danaher Corporation,JSearch
58,p00XqboAQh5JUBERAAAAAA==,Senior Data Analyst - Wealth Management,Qode,JSearch
59,lQk6xffd4N-f9d1AAAAAAA==,Data Analyst V,TX-HHSC-DSHS-DFPS,JSearch
60,wdpOdF0ot_4Ie76OAAAAAA==,Data Analyst - Data Analyst I,confidential,JSearch
61,Hc3T1PHfcPJWb9SkAAAAAA==,"Data Analyst, Market Intelligence & Insights",Cardinal Health,JSearch
62,AsHwHV1a2ueYgywNAAAAAA==,"Data Analyst (Tableau, SQL & Python)",PTR Global,JSearch
63,hXfIxwWEdEX9ZA84AAAAAA==,Data Analytics & Modeling Analyst II,YETI Coolers LLC,JSearch
64,CUs7UXoVfzA5xFfoAAAAAA==,Junior Business Analyst & Data Analyst,Ellianse LLC,JSearch
65,fKiQO-6n7vv0neaKAAAAAA==,"Data Analyst, People Analytics & Recruiting Insights",Tesla,JSearch
66,7xVlQObcnDU0vWMOAAAAAA==,Data Product Analyst,Deloitte,JSearch
67,calcBR5ktszaxYrhAAAAAA==,Data Analyst- US Wealth- Broadridge or SS&C exp must- 4 days hybrid Boston,"Yoh, A Day & Zimmermann Company",JSearch
68,XzFesvR4IyBdI-_5AAAAAA==,Data Quality Analyst Lead,Xceedance,JSearch
69,aHMiEpktzfFcWJLSAAAAAA==,Contract to Hire - Data Analyst (strong investment management background & FA Data packs),"Yoh, A Day & Zimmermann Company",JSearch
70,WVpRn4XDAwD9MHBYAAAAAA==,Data Analyst-DA,FSA Federal,JSearch
71,IMllVJeQqk-HAzleAAAAAA==,Lead Digital Data Analyst (Hybrid),American Family Mutual Insurance Company Si,JSearch
72,h-dfKqOybeJj9gwFAAAAAA==,Data Analyst 1,Skill,JSearch
73,HvxZHpLgdHWpEdQRAAAAAA==,"Data Analyst, Panels Performance & Business Intelligence",Kantar,JSearch
74,fBuuZll0Cdy_vgQ1AAAAAA==,Data Analysis Intern/Fall,Boston Children's Hospital,JSearch
75,WaPf58xpqwxkkKDsAAAAAA==,Senior Data Analyst - AI-Driven Dashboards (Remote),DoseSpot,JSearch
76,txDoQMBJLtyt5G_2AAAAAA==,Data Analyst (Entry / Mid-Level),Scale.jobs,JSearch
77,hNC4Hr0897Aw0HIxAAAAAA==,Entry Level Operations Data Analyst,Benda Infotech,JSearch
78,GYoocZGjaWFzGfVgAAAAAA==,Data Analyst - 1,Nova Infotek,JSearch
79,bIMN8G5JT5f4N_0xAAAAAA==,Mid-Level Data Analyst,1 point system,JSearch
80,LeV3gWRFKXtW34eEAAAAAA==,Data Analyst - TC - Data and Analytics - DAE - FSO - Manager - Multiple Positions - 1700919,EY,JSearch
81,Fn1pzz8J7wSKrwf6AAAAAA==,Master Data Analyst,Intone Networks,JSearch
82,K7TzregaGRGofHaPAAAAAA==,Data Analyst 1 (0-2 years),Robert Half,JSearch
83,IwcqYWh-idB6Uai9AAAAAA==,"Senior Analyst, Data and Insights",WellNow Urgent Care,JSearch
84,S-w5o5AdMQBZwgpWAAAAAA==,Data Analyst - Front Office - Customer Data,Schneider Electric,JSearch
85,MlA130y7vC-_X8pKAAAAAA==,Chief data and information analyst,City of Chicago Office of Inspector General,JSearch
86,PPbiQ4Q0Q9AUR_z-AAAAAA==,Data Analyst (Entry-Level / Junior),Notícias de Tecnologia,JSearch
87,BSCmDWalupjuSdliAAAAAA==,Entry Level Data Analyst,SynergisticIT,JSearch
88,K2Df7x-tVjaHKz_uAAAAAA==,Data Product Analyst,Deloitte,JSearch
89,7mv8ZwMZh49rDIKNAAAAAA==,Entry-Level Data Analyst,SynergisticIT,JSearch
90,74eKD04iJLu9O1lGAAAAAA==,Business Data Analyst -Project Delivery Senior Analyst - AI & Engineering,Deloitte,JSearch
91,tGlN7GtaNn94-ZyJAAAAAA==,Marketing Data Analyst - Platform & Enablement,Viking Cruises,JSearch
92,p64RhjY_uxjgwG7XAAAAAA==,Member Experience Analytics Data Analyst II,L.A. Care Health Plan,JSearch
93,HidgQD9orSE9-C10AAAAAA==,"Analyst, National Data Unit",HUB International,JSearch
94,clpPzxjSRsV_ntsTAAAAAA==,Technical Data Analyst,Brookfield,JSearch
95,ZLlxCNHRfttZsAiVAAAAAA==,Data Platforms Analyst (National Geographic),National Geographic,JSearch
96,NAO6rJ2toU3hmjBWAAAAAA==,Senior Policy Analyst / Senior Data Analyst,KFF,JSearch
97,auqE6fWLoaXHi3qhAAAAAA==,Data Analyst -Contingent Upon Award,All Native Group,JSearch
98,Y43J18Nw4PzshC_9AAAAAA==,Data Analyst (Temporary Assignment),CACI,JSearch
99,B7jpVa96BjdOe5IyAAAAAA==,Program Data Analyst,VISTA Technology Services,JSearch
100,OW80X0dKOV9eM-6rAAAAAA==,Data Analyst,CACI,JSearch
101,5s5ubU_0DAftQMJ6AAAAAA==,Business Data Analyst III - Celonis - BEA - Remote - Secret or TS,S2i2 Inc,JSearch
102,mCXN46zbeA5IvnO5AAAAAA==,Business & Data Analyst,Kalibri Labs,JSearch
103,o6wVN6XVzo8MfQYUAAAAAA==,Data Analyst (Temporary Assignment),CACI,JSearch
104,oZFlYQ5fMGIGHzcNAAAAAA==,Business Analyst Junior,General Dynamics Information Technology,JSearch
105,I64sDtkyh23kWOYIAAAAAA==,Senior Business Analyst,Infinite Computer Solutions,JSearch
106,GXmCf2sbnWlnYd0KAAAAAA==,"Sr. Business Analyst, Financial Institution Group | New York, NY, USA",Capital One Financial Corporation,JSearch
107,9vcH3jExvT5EndA4AAAAAA==,Border Security Business Analyst,Guidehouse,JSearch
108,ERPFoZ8mG_HODZ4AAAAAAA==,"People Experience Business Analyst - Hybrid - Las Vegas, NV",UnitedHealth Group,JSearch
109,d1DB_N1yxZWiMF_WAAAAAA==,Business Analyst Team Lead (Remote),FEI Systems,JSearch
110,DMYd5W8gMWHFjVPEAAAAAA==,Sr Business Analyst,Lumen,JSearch
111,AREuGk-mSod_x3vQAAAAAA==,Business Analyst & Trainer,TrueTandem,JSearch
112,or_43OzZigDoCZpqAAAAAA==,Program Control Analyst Senior,ECS,JSearch
113,g8Cnu9-w5MCNRlU0AAAAAA==,Business Operations Analyst / Process Improvement,Liquidity Services,JSearch
114,pLazKyG0vw17EVKrAAAAAA==,Business Analyst III (Remote) - WashU IT,CP00001 Washington University in St Louis,JSearch
115,zi17WC1556O2pc7EAAAAAA==,Lead Business Analyst: Remote Leadership & Mentorship,Remote Jobs,JSearch
116,73YZTM-w0h19JsjwAAAAAA==,Business Analyst Level III (Remote),GovOS,JSearch
117,8KnDgbMVelWysYSAAAAAAA==,Senior Business Analyst - SAP,CVS Health,JSearch
118,1KUzLof3OH40OAM1AAAAAA==,Remote Business Systems Analyst II — Agile Analytics & Process Mapping,Velera,JSearch
119,fq4e47hYY1MhZEWYAAAAAA==,"Senior Business Analyst, Fiber Market & Regional Performance",T-Mobile,JSearch
120,op4ostHJ8seFt5YsAAAAAA==,Business Analyst,Dana-Farber Cancer Institute,JSearch
121,CTL8cTwpqTmSFvgBAAAAAA==,Entry-Level Business Analyst,Transform Labs,JSearch
122,lmHeKZN2v4ypCwv_AAAAAA==,Huron Research Suite Business Analyst (Higher Education) - Remote (US only),Jobs via Dice,JSearch
123,kEVx1vMHoEr2uN6cAAAAAA==,Senior Business Data Analysis Specialist (Remote),"Fragomen, Del Rey, Bernsen & Loewy, LLP",JSearch
124,xg2A1EJR9hxX2z5mAAAAAA==,Oracle Cloud Business Systems Analyst,UCSF,JSearch
125,6VSkGWRxzTHIk8RhAAAAAA==,Sr. Business Analyst,Cushman & Wakefield,JSearch
